SampleID,Date,Station,Shore,Fraction,Type,Samplenum,Date_year,Month,Days,pH,SpCond,StationDepth,Secchi,Temp,Turbidity,ParMC,DissMC,Phycocyanin,Chla,DOC,SRP,TP,TDP,POC,PON,PP,N.P,Nitrate,Ammonia,H2O2,CDOM
E0010_CNA,6/16,nearshore2,nearshore,CNA,sample,E0010,6/16/14,June,20,8.08,290.6,5.1,0.9,22.4,10.1,0,NA,0.31,10.72,3.26025,4.16,36.1,12.3,0.68,0.15,23.84,6.15,482.5,3.51,217.121296,4.212387717
E0012_CNA,6/16,nearshore1,nearshore,CNA,sample,E0012,6/16/14,June,20,8.39,300.4,6.1,0.9,23.3,11.9,0,NA,1.06,34.37,3.403,1.11,56.8,10.5,1.72,0.32,46.22,6.89,545,2.14,180.3269431,4.252437682
E0014_CNA,6/16,offshore,offshore,CNA,sample,E0014,6/16/14,June,20,8.308,281.7,8.5,4,22.5,1.34,0,NA,0.44,12.26,3.24075,0.24,19.7,4.4,0.84,0.13,15.31,8.31,475,10.41,224.5437696,3.523809938
E0016_CNA,6/30,nearshore2,nearshore,CNA,sample,E0016,6/30/14,June,34,8.647,291.5,4.9,1.3,24.7,4.81,0,NA,1.69,19.94,3.84425,0.65,26.3,6.7,0.96,0.15,19.69,7.63,472,8.64,190.3619956,3.454659764
E0018_CNA,6/30,nearshore1,nearshore,CNA,sample,E0018,6/30/14,June,34,8.435,290,6,1.4,24.5,4.01,0,NA,0.63,7.88,3.0216,0.17,19.4,4.6,0.59,0.12,14.83,7.92,444.5,16.18,167.6385816,4.595779414
E0020_CNA,6/30,offshore,offshore,CNA,sample,E0020,6/30/14,June,34,8.609,311.8,8,2,24.8,1.79,0,NA,1.59,12.93,3.38725,0.27,23.7,5.7,0.78,0.13,18.05,7.24,611.5,20.65,199.2387662,6.792312303
E0022_CNA,7/8,nearshore2,nearshore,CNA,sample,E0022,7/8/14,July,42,8.265,295.9,5,1.4,23.8,3.55,0.29,NA,1.18,6.85,4.0772,2.49,22.7,7.9,0.96,0.06,14.75,4.09,597.5,16.29,163.6026951,4.804654084
E0024_CNA,7/8,nearshore1,nearshore,CNA,sample,E0024,7/8/14,July,42,8.334,279.6,5.7,1,23.5,9.47,0,NA,0.12,6.98,3.05175,0.2,34,5.1,0.66,0.1,28.97,3.62,343.5,16.16,154.9502201,3.662872236
E0026_CNA,7/8,offshore,offshore,CNA,sample,E0026,7/8/14,July,42,8.45,281.7,7,2,23.7,1.16,0,NA,0.6,3.55,3.00175,1.02,14.4,3.5,0.38,0.05,10.93,4.58,458,17.8,173.9337628,2.961181333
E0028_CNA,7/14,nearshore2,nearshore,CNA,sample,E0028,7/14/14,July,48,8.382,312.5,5.1,1.75,24.4,3.61,1.02,NA,17.18,10.43,3.89275,0.57,26.2,6.9,0.87,0.15,19.21,7.95,1090,11.03,683.259721,8.572711727
E0030_CNA,7/14,nearshore1,nearshore,CNA,sample,E0030,7/14/14,July,48,8.32,285.9,6.1,1.5,24.6,3.7,0,NA,0.73,7.74,3.04975,0.1,23.1,4.6,0.58,0.1,18.49,5.49,448.5,3.04,421.5805285,3.416086172
E0032_CNA,7/14,offshore,offshore,CNA,sample,E0032,7/14/14,July,48,8.43,271.5,8.2,3.5,24.2,1.07,0.17,NA,0.71,3.96,2.784,0.1,13.1,3.1,0.45,0.07,9.94,7.51,392,13.36,753.8813493,3.553916244
