"Date","Station","SampleID","Samplenum","Date_year","Month","Days","Fraction","Photonum","pH","Type","Arrival","Departure","Sky","StationDepth","Secchi","Temp","Turbidity","LogPhyco","LogChla","LogParMC","ParMC","DissMC","Phycocyanin","Chla","DOC","SRP","TP","TDP","POC","PON","PP","N.P","Nitrate","Ammonia","SortChem","H2O2","Intensive","Shore","NoaaStation","CDOM"
"5/27","nearshore2","E0004_100LTR","E0004","5/27/14","May",0,"100LTR","E140012",8.33,"no-amp","12:47","12:50","partly sunny",4.9,0.9,21.4,5.44,1.655351829,6.070389328,NA,0,NA,3.15,67.2,5.9065,0.93,58.6,12.1,2.55,0.5,46.53,10.74,1903.5,3.55,"E2014_0004",202.5155118,"n","nearshore","WE2",NA
"5/27","nearshore2","E0004_CNA","E0004","5/27/14","May",0,"CNA","E140012",8.33,"sample","12:47","12:50","partly sunny",4.9,0.9,21.4,5.44,1.655351829,6.070389328,NA,0,NA,3.15,67.2,5.9065,0.93,58.6,12.1,2.55,0.5,46.53,10.74,1903.5,3.55,"E2014_0004",202.5155118,"n","nearshore","WE2",NA
"5/27","nearshore2","E0004_22NA","E0004","5/27/14","May",0,"22NA","E140012",8.33,"sample","12:47","12:50","partly sunny",4.9,0.9,21.4,5.44,1.655351829,6.070389328,NA,0,NA,3.15,67.2,5.9065,0.93,58.6,12.1,2.55,0.5,46.53,10.74,1903.5,3.55,"E2014_0004",202.5155118,"n","nearshore","WE2",NA
"5/27","nearshore2","E0004_3NA","E0004","5/27/14","May",0,"3NA","E140012",8.33,"sample","12:47","12:50","partly sunny",4.9,0.9,21.4,5.44,1.655351829,6.070389328,NA,0,NA,3.15,67.2,5.9065,0.93,58.6,12.1,2.55,0.5,46.53,10.74,1903.5,3.55,"E2014_0004",202.5155118,"n","nearshore","WE2",NA
"5/27","nearshore2","E0004_53LTR","E0004","5/27/14","May",0,"53LTR","E140012",8.33,"sample","12:47","12:50","partly sunny",4.9,0.9,21.4,5.44,1.655351829,6.070389328,NA,0,NA,3.15,67.2,5.9065,0.93,58.6,12.1,2.55,0.5,46.53,10.74,1903.5,3.55,"E2014_0004",202.5155118,"n","nearshore","WE2",NA
"5/27","offshore","E0005_100LTR","E0005","5/27/14","May",0,"100LTR","E140013",8.09,"sample","12:14","12:17","partly sunny",8.1,2,19.4,1.3,-2.943416472,2.503348735,NA,0,NA,0.13,5.67,3.281,0.43,10.9,3.9,0.62,0.1,6.99,13.87,304.5,3.09,"E2014_0005",229.6486167,"n","offshore","WE4",NA
"5/27","offshore","E0005_22NA","E0005","5/27/14","May",0,"22NA","E140013",8.09,"sample","12:14","12:17","partly sunny",8.1,2,19.4,1.3,-2.943416472,2.503348735,NA,0,NA,0.13,5.67,3.281,0.43,10.9,3.9,0.62,0.1,6.99,13.87,304.5,3.09,"E2014_0005",229.6486167,"n","offshore","WE4",NA
"5/27","offshore","E0005_3NA","E0005","5/27/14","May",0,"3NA","E140013",8.09,"sample","12:14","12:17","partly sunny",8.1,2,19.4,1.3,-2.943416472,2.503348735,NA,0,NA,0.13,5.67,3.281,0.43,10.9,3.9,0.62,0.1,6.99,13.87,304.5,3.09,"E2014_0005",229.6486167,"n","offshore","WE4",NA
"5/27","offshore","E0005_53LTR","E0005","5/27/14","May",0,"53LTR","E140013",8.09,"sample","12:14","12:17","partly sunny",8.1,2,19.4,1.3,-2.943416472,2.503348735,NA,0,NA,0.13,5.67,3.281,0.43,10.9,3.9,0.62,0.1,6.99,13.87,304.5,3.09,"E2014_0005",229.6486167,"n","offshore","WE4",NA
"5/27","offshore","E0005_CNA","E0005","5/27/14","May",0,"CNA","E140013",8.09,"sample","12:14","12:17","partly sunny",8.1,2,19.4,1.3,-2.943416472,2.503348735,NA,0,NA,0.13,5.67,3.281,0.43,10.9,3.9,0.62,0.1,6.99,13.87,304.5,3.09,"E2014_0005",229.6486167,"n","offshore","WE4",NA
"6/10","offshore","E0008_53LTR","E0008","6/10/14","June",14,"53LTR","E140016/152",8.22,"sample","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offshore","WE4",NA
"6/10","offshore","E0008_CNA","E0008","6/10/14","June",14,"CNA","E140016/152",8.22,"sample","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offshore","WE4",NA
"6/10","offshore","E0008_100LTR","E0008","6/10/14","June",14,"100LTR","E140016/152",8.22,"sample","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offshore","WE4",NA
"6/10","offshore","E0008_22NA","E0008","6/10/14","June",14,"22NA","E140016/152",8.22,"sample","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offshore","WE4",NA
"6/10","offshore","E0008_3NA","E0008","6/10/14","June",14,"3NA","E140016/152",8.22,"sample","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offshore","WE4",NA
"6/10","nearshore2","E0009_22NA","E0009","6/10/14","June",14,"22NA","E140017",8.12,"sample","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nearshore","WE2",NA
"6/10","nearshore2","E0009_3NA","E0009","6/10/14","June",14,"3NA","E140017",8.12,"sample","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nearshore","WE2",NA
"6/10","nearshore2","E0009_CNA","E0009","6/10/14","June",14,"CNA","E140017",8.12,"sample","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nearshore","WE2",NA
"6/16","nearshore2","E0010_100LTR","E0010","6/16/14","June",20,"100LTR","E140018",8.08,"sample","10:35","10:57","sunny",5.1,0.9,22.4,10.1,-1.689659879,3.422233001,NA,0,NA,0.31,10.72,3.26025,4.16,36.1,12.3,0.68,0.15,23.84,6.15,482.5,3.51,"E2014_0010",217.121296,"n","nearshore","WE2",4.212387717
"6/16","nearshore2","E0010_22NA","E0010","6/16/14","June",20,"22NA","E140018",8.08,"sample","10:35","10:57","sunny",5.1,0.9,22.4,10.1,-1.689659879,3.422233001,NA,0,NA,0.31,10.72,3.26025,4.16,36.1,12.3,0.68,0.15,23.84,6.15,482.5,3.51,"E2014_0010",217.121296,"n","nearshore","WE2",4.212387717
"6/16","nearshore2","E0010_3NA","E0010","6/16/14","June",20,"3NA","E140018",8.08,"sample","10:35","10:57","sunny",5.1,0.9,22.4,10.1,-1.689659879,3.422233001,NA,0,NA,0.31,10.72,3.26025,4.16,36.1,12.3,0.68,0.15,23.84,6.15,482.5,3.51,"E2014_0010",217.121296,"n","nearshore","WE2",4.212387717
"6/16","nearshore2","E0010_53LTR","E0010","6/16/14","June",20,"53LTR","E140018",8.08,"sample","10:35","10:57","sunny",5.1,0.9,22.4,10.1,-1.689659879,3.422233001,NA,0,NA,0.31,10.72,3.26025,4.16,36.1,12.3,0.68,0.15,23.84,6.15,482.5,3.51,"E2014_0010",217.121296,"n","nearshore","WE2",4.212387717
"6/16","nearshore2","E0010_CNA","E0010","6/16/14","June",20,"CNA","E140018",8.08,"sample","10:35","10:57","sunny",5.1,0.9,22.4,10.1,-1.689659879,3.422233001,NA,0,NA,0.31,10.72,3.26025,4.16,36.1,12.3,0.68,0.15,23.84,6.15,482.5,3.51,"E2014_0010",217.121296,"n","nearshore","WE2",4.212387717
"6/16","nearshore1","E0012_100LTR","E0012","6/16/14","June",20,"100LTR","E140020",8.39,"sample","12:12","12:27","mostly cloudy",6.1,0.9,23.3,11.9,0.084064265,5.103077947,NA,0,NA,1.06,34.37,3.403,1.11,56.8,10.5,1.72,0.32,46.22,6.89,545,2.14,"E2014_0012",180.3269431,"n","nearshore","WE12",4.252437682
