Station,SampleID,Shore,Samplenum,Date,Date_year,Month,Days,Fraction,pH,SpCond,StationDepth,Secchi,Temp,Turbidity,LogPhyco,LogChla,LogParMC,ParMC,DissMC,Phycocyanin,Chla,DOC,SRP,TP,TDP,POC,PON,PP,N.P,Nitrate,Ammonia,H2O2,CDOM
nearshore2,E0010_CNA,nearshore,E0010,6/16,6/16/14,June,20,CNA,8.08,290.6,5.1,0.9,22.4,10.1,-1.689659879,3.422233001,NA,0,NA,0.31,10.72,3.26025,4.16,36.1,12.3,0.68,0.15,23.84,6.15,482.5,3.51,217.121296,4.212387717
nearshore1,E0012_CNA,nearshore,E0012,6/16,6/16/14,June,20,CNA,8.39,300.4,6.1,0.9,23.3,11.9,0.084064265,5.103077947,NA,0,NA,1.06,34.37,3.403,1.11,56.8,10.5,1.72,0.32,46.22,6.89,545,2.14,180.3269431,4.252437682
offshore,E0014_CNA,offshore,E0014,6/16,6/16/14,June,20,CNA,8.308,281.7,8.5,4,22.5,1.34,-1.184424571,3.615887074,NA,0,NA,0.44,12.26,3.24075,0.24,19.7,4.4,0.84,0.13,15.31,8.31,475,10.41,224.5437696,3.523809938
nearshore2,E0016_CNA,nearshore,E0016,6/30,6/30/14,June,34,CNA,8.647,291.5,4.9,1.3,24.7,4.81,0.757023247,4.317593505,NA,0,NA,1.69,19.94,3.84425,0.65,26.3,6.7,0.96,0.15,19.69,7.63,472,8.64,NA,3.454659764
nearshore1,E0018_CNA,nearshore,E0018,6/30,6/30/14,June,34,CNA,8.435,290,6,1.4,24.5,4.01,-0.666576266,2.97819563,NA,0,NA,0.63,7.88,3.0216,0.17,19.4,4.6,0.59,0.12,14.83,7.92,444.5,16.18,NA,4.595779414
offshore,E0020_CNA,offshore,E0020,6/30,6/30/14,June,34,CNA,8.609,311.8,8,2,24.8,1.79,0.669026766,3.69265037,NA,0,NA,1.59,12.93,3.38725,0.27,23.7,5.7,0.78,0.13,18.05,7.24,611.5,20.65,NA,6.792312303
nearshore2,E0022_CNA,nearshore,E0022,7/8,7/8/14,July,42,CNA,8.265,295.9,5,1.4,23.8,3.55,0.23878686,2.776103988,-1.785875195,0.29,NA,1.18,6.85,4.0772,2.49,22.7,7.9,0.96,0.06,14.75,4.09,597.5,16.29,163.6026951,4.804654084
nearshore1,E0024_CNA,nearshore,E0024,7/8,7/8/14,July,42,CNA,8.334,279.6,5.7,1,23.5,9.47,-3.058893689,2.803227036,NA,0,NA,0.12,6.98,3.05175,0.2,34,5.1,0.66,0.1,28.97,3.62,343.5,16.16,154.9502201,3.662872236
offshore,E0026_CNA,offshore,E0026,7/8,7/8/14,July,42,CNA,8.45,281.7,7,2,23.7,1.16,-0.736965594,1.827819025,NA,0,NA,0.6,3.55,3.00175,1.02,14.4,3.5,0.38,0.05,10.93,4.58,458,17.8,173.9337628,2.961181333
nearshore2,E0028_CNA,nearshore,E0028,7/14,7/14/14,July,48,CNA,8.382,312.5,5.1,1.75,24.4,3.61,4.102658131,3.382667253,0.028569152,1.02,NA,17.18,10.43,3.89275,0.57,26.2,6.9,0.87,0.15,19.21,7.95,1090,11.03,683.259721,8.572711727
nearshore1,E0030_CNA,nearshore,E0030,7/14,7/14/14,July,48,CNA,8.32,285.9,6.1,1.5,24.6,3.7,-0.454031631,2.952333566,NA,0,NA,0.73,7.74,3.04975,0.1,23.1,4.6,0.58,0.1,18.49,5.49,448.5,3.04,421.5805285,3.416086172
offshore,E0032_CNA,offshore,E0032,7/14,7/14/14,July,48,CNA,8.43,271.5,8.2,3.5,24.2,1.07,-0.49410907,1.98550043,-2.556393349,0.17,NA,0.71,3.96,2.784,0.1,13.1,3.1,0.45,0.07,9.94,7.51,392,13.36,753.8813493,3.553916244
nearshore2,E0034_CNA,nearshore,E0034,7/21,7/21/14,July,55,CNA,8.375,296.8,4.8,2,23.5,7.21,2.358958826,4.023255352,2.304511042,4.94,NA,5.13,16.26,3.41125,0.04,32.2,4.5,2.32,0.3,27.74,10.87,518,2.93,429.7049332,3.921255064
nearshore1,E0036_CNA,nearshore,E0036,7/21,7/21/14,July,55,CNA,8.794,312.2,6,1.2,23.9,5.58,2.482848283,4.218781168,2.618238656,6.14,NA,5.59,18.62,3.75225,0.1,32.1,4.5,1.8,0.29,27.63,10.49,1021,1.82,463.5637402,6.561996833
offshore,E0038_CNA,offshore,E0038,7/21,7/21/14,July,55,CNA,8.445,255.9,6.3,NA,24.1,1.57,2.618238656,2.572889668,0.86393845,1.82,NA,6.14,5.95,2.37875,0.14,14.3,1.7,0.89,0.13,12.58,10.3,318,1.69,317.7296414,2.69844051
nearshore2,E0040_CNA,nearshore,E0040,7/29,7/29/14,July,63,CNA,8.499,285.5,4.8,2,22.2,3.52,3.139142019,3.324810603,1.992768431,3.98,NA,8.81,10.02,3.396,2.5,23.6,6,0.78,0.11,17.57,6.54,439,6.48,1383.37604,3.413934814
nearshore1,E0042_CNA,nearshore,E0042,7/29,7/29/14,July,63,CNA,8.585,314.6,5.9,0.6,22.2,15.5,4.793895883,5.050936965,2.792855352,6.93,NA,27.74,33.15,3.6775,3.46,67.5,7.9,2.86,0.52,59.57,8.74,1026,0.1,883.4676478,6.46522329
offshore,E0044_CNA,offshore,E0044,7/29,7/29/14,July,63,CNA,8.526,255.3,8.1,NA,22.6,2.45,2.253989266,2.613531653,0.014355293,1.01,NA,4.77,6.12,2.44225,1.01,16.5,3.1,0.61,0.09,13.39,6.97,308,9.39,717.1590595,2.264666841
nearshore2,E0046_CNA,nearshore,E0046,8/4,8/4/14,August,69,CNA,9.195,291.2,4.9,1,23.1,8.99,5.285772093,4.879705766,2.114367025,4.33,NA,39.01,29.44,3.898,1.45,32,4.8,2.1,0.32,27.16,11.94,556,3.03,303.8264776,6.438243172
nearshore1,E0048_CNA,nearshore,E0048,8/4,8/4/14,August,69,CNA,9.29,291.8,6,0.6,24.6,17.7,5.5055734,5.767125077,3.214124805,9.28,NA,45.43,54.46,3.94625,0.1,44.4,5.3,4.65,0.68,39.03,17.35,617.5,3.25,331.0631026,6.322072879
offshore,E0050_CNA,offshore,E0050,8/4,8/4/14,August,69,CNA,9.128,259.9,8,1.6,24.6,3.56,3.942983598,4.178714641,0.622930351,1.54,NA,15.38,18.11,3.28225,0.55,22.1,3.2,1.75,0.24,18.92,12.76,139,1.64,295.2206983,2.950603364
nearshore2,E0052_CNA,nearshore,E0052,8/11,8/11/14,August,76,CNA,9.168,275.1,5.1,0.2,23.8,41.9,8.070281981,6.169123281,4.87282876,29.3,NA,268.78,71.96,3.898,0.69,121.1,6.9,6.79,1.21,114.19,10.57,146,7.07,292.8814101,8.47081306
nearshore1,E0054_CNA,nearshore,E0054,8/11,8/11/14,August,76,CNA,8.613,269.6,6.1,0.6,23.8,11,4.08491466,3.533563348,1.5360529,2.9,NA,16.97,11.58,3.94625,1.53,43.6,5.6,1.34,0.25,37.93,6.48,145,8.12,295.5588752,3.204245188
offshore,E0056_CNA,offshore,E0056,8/11,8/11/14,August,76,CNA,9.019,265.7,8.1,0.8,23.5,12,5.70348835,4.917909074,3.510961919,11.4,NA,52.11,30.23,3.28225,0.98,45.7,5.7,2.64,0.45,40.03,11.32,39,7.14,263.5888692,4.550644842
