"Kingdom","Phylum","Class","Order","Family","Genus","Rank7","Rank8","Species","Rho"
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betI","betI-A","Lhab-A1","unclassified","Otu00002",-0.604288218378701
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acI","acI-B","acI-B1","unclassified","Otu00004",-0.76654901700407
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acI","acI-C","acI-C2","unclassified","Otu00006",0.450393776411833
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acI","acI-A","unclassified","unclassified","Otu00010",-0.558036786889475
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas",NA,NA,"Otu00012",0.657717801516438
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betII","Pnec","PnecB","unclassified","Otu00015",-0.475952649787839
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acI","acI-A","acI-A3","unclassified","Otu00016",-0.521357055541764
"Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","betIV","betIV-A","LD28","unclassified","Otu00019",-0.813676527084134
"Bacteria","Verrucomicrobia","Spartobacteria","Spartobacteriales","Spartobacteriaceae","CandidatusXiphinematobacter","verI-B","Xip-B1","Otu00021",0.439433245381865
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","unclassified","unclassified","unclassified","Otu00024",0.665602169641642
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betI","betI-A","unclassified","unclassified","Otu00026",-0.533720840689522
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acTH1","acTH1-A","acTH1-A1","unclassified","Otu00027",-0.344067432780513
"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pirellula",NA,NA,"Otu00029",0.332292768798265
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter",NA,NA,"Otu00030",0.398898799908922
"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","bacI","unclassified","unclassified","unclassified","Otu00031",-0.561384973869422
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acI","acI-C","acI-C2","unclassified","Otu00032",0.520502588504589
"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","bacI","unclassified","unclassified","unclassified","Otu00033",0.597185540034988
"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","bacI","unclassified","unclassified","unclassified","Otu00038",0.549429704871396
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","alfIV","unclassified","unclassified","unclassified","Otu00039",-0.406749149165718
"Bacteria","Proteobacteria","Gammaproteobacteria","unclassified","unclassified","unclassified",NA,NA,"Otu00040",0.339290022544946
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","unclassified","unclassified","unclassified","Otu00041",0.331218726724711
"Bacteria","Chlorobi","Chlorobia","Chlorobiales","OPB56","unclassified",NA,NA,"Otu00046",0.743668798140611
"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","bacIII","bacIII-A","unclassified","unclassified","Otu00048",-0.363442235134731
"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","bacI","unclassified","unclassified","unclassified","Otu00052",0.474647881012797
"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces",NA,NA,"Otu00054",0.319975028305557
"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",NA,NA,"Otu00055",0.333429664405058
"Bacteria","Verrucomicrobia","Spartobacteria","Spartobacteriales","Spartobacteriaceae","CandidatusXiphinematobacter","verI-A","unclassified","Otu00056",0.450206521251069
"Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","bacII","bacII-A","Flavo-A1","unclassified","Otu00057",0.365383762605694
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acSTL","acSTL-A","acSTL-A1","unclassified","Otu00060",-0.653516459957402
"Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","unclassified",NA,NA,"Otu00064",0.480719675567313
"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","bacVI","unclassified","unclassified","unclassified","Otu00067",0.478687230906535
"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces",NA,NA,"Otu00073",0.332588723653189
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","unclassified","unclassified","unclassified","unclassified","Otu00076",-0.550769597405919
"Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae","Armatimonas","unclassified","unclassified","Otu00077",-0.393557237381648
"Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","bacV","unclassified","unclassified","unclassified","Otu00079",-0.364235526422825
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas",NA,NA,"Otu00083",-0.60098597698784
"Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","unclassified","unclassified","unclassified","Otu00084",-0.456039257015034
"Bacteria","Verrucomicrobia","OPB35_soil_group","unclassified","unclassified","unclassified",NA,NA,"Otu00092",0.32408739483638
"Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","CL500-3",NA,NA,"Otu00096",0.542863561298759
"Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","unclassified","unclassified","unclassified","Otu00099",-0.442411151296574
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","alfI","alfI-A","alfI-A1","unclassified","Otu00106",-0.382032224036743
"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","bacVI","unclassified","unclassified","unclassified","Otu00113",-0.359151974109067
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acI","acI-C","acI-C1","unclassified","Otu00120",0.450872114092724
"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","NS11-12_marine_group","unclassified","unclassified","unclassified","Otu00121",0.364798374429003
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","alfV","alfV-A","LD12","unclassified","Otu00129",-0.700045630961579
"Bacteria","Chloroflexi","SL56_marine_group","unclassified","unclassified","unclassified",NA,NA,"Otu00131",-0.512729390110697
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","unclassified",NA,NA,"Otu00142",-0.487464584090808
"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","NS11-12_marine_group","unclassified","unclassified","unclassified","Otu00144",0.614569941821781
"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","env.OPS_17","unclassified",NA,NA,"Otu00149",0.336453719267365
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betIII","betIII-A","betIII-A1","unclassified","Otu00154",-0.417802723314345
"Bacteria","Chlorobi","Chlorobia","Chlorobiales","OPB56","unclassified",NA,NA,"Otu00159",0.341331039603377
"Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","acIV","unclassified","unclassified","unclassified","Otu00168",0.329781885128551
"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","bacVI","unclassified","unclassified","unclassified","Otu00181",0.422192887158843
